# Eigenvalor 0 =     0.4999
 # X      Psi(x)     |Psi(x)|^2
  -4.6419999829959124        1.5181260115634467E-005   2.3047065869855383E-010
  -4.6409999829484150        1.5256765070245344E-005   2.3276888040865841E-010
  -4.6399999829009175        1.5332583384908596E-005   2.3508811325517514E-010
  -4.6389999828534201        1.5408716474561594E-005   2.3742854339342589E-010
  -4.6379999828059226        1.5485165759224531E-005   2.3979035859065986E-010
  -4.6369999827584252        1.5561932664021252E-005   2.4217374823953157E-010
  -4.6359999827109277        1.5639018619200119E-005   2.4457890337168796E-010
  -4.6349999826634303        1.5716425060154965E-005   2.4700601667146700E-010
  -4.6339999826159328        1.5794153427446049E-005   2.4945528248970580E-010
  -4.6329999825684354        1.5872205166821134E-005   2.5192689685766351E-010
  -4.6319999825209379        1.5950581729236564E-005   2.5442105750105532E-010
  -4.6309999824734405        1.6029284570878450E-005   2.5693796385420195E-010
  -4.6299999824259430        1.6108315153183849E-005   2.5947781707429239E-010
  -4.6289999823784456        1.6187674942862067E-005   2.6204082005576442E-010
  -4.6279999823309481        1.6267365411915975E-005   2.6462717744480021E-010
  -4.6269999822834507        1.6347388037663397E-005   2.6723709565394033E-010
  -4.6259999822359532        1.6427744302758570E-005   2.6987078287681664E-010
  -4.6249999821884558        1.6508435695213623E-005   2.7252844910300329E-010
  -4.6239999821409583        1.6589463708420159E-005   2.7521030613298953E-010
  -4.6229999820934609        1.6670829841170879E-005   2.7791656759327347E-010
  -4.6219999820459634        1.6752535597681249E-005   2.8064744895157744E-010
  -4.6209999819984660        1.6834582487611240E-005   2.8340316753218707E-010
  -4.6199999819509685        1.6916972026087135E-005   2.8618394253141469E-010
  -4.6189999819034711        1.6999705733723374E-005   2.8898999503318734E-010
  -4.6179999818559736        1.7082785136644494E-005   2.9182154802476203E-010
  -4.6169999818084762        1.7166211766507072E-005   2.9467882641256583E-010
  -4.6159999817609787        1.7249987160521797E-005   2.9756205703816683E-010
  -4.6149999817134812        1.7334112861475550E-005   3.0047146869437210E-010
  -4.6139999816659838        1.7418590417753558E-005   3.0340729214145611E-010
